County,Urbanicity
Adams,Urban
Arapahoe,Urban
Boulder,Urban
Denver,Urban
El Paso,Urban
Jefferson,Urban
Douglas,Suburban
Broomfield,Suburban
Alamosa,Rural
Chaffee,Rural
Clear Creek,Rural
Delta,Rural
Eagle,Rural
Fremont,Rural
Garfield,Rural
Gilpin,Rural
Gunnison,Rural
La Plata,Rural
Lake,Rural
Larimer,Rural
Mesa,Rural
Moffat,Rural
Montezuma,Rural
Montrose,Rural
Morgan,Rural
Pitkin,Rural
Pueblo,Rural
Routt,Rural
San Miguel,Rural
Summit,Rural
Teller,Rural
Weld,Rural
Archuleta,Frontier
Baca,Frontier
Bent,Frontier
Cheyenne,Frontier
Conejos,Frontier
Costilla,Frontier
Crowley,Frontier
Custer,Frontier
Dolores,Frontier
Elbert,Frontier
Grand,Frontier
Hinsdale,Frontier
Huerfano,Frontier
Jackson,Frontier
Kiowa,Frontier
Kit Carson,Frontier
Las Animas,Frontier
Lincoln,Frontier
Logan,Frontier
Mineral,Frontier
Otero,Frontier
Ouray,Frontier
Park,Frontier
Phillips,Frontier
Prowers,Frontier
Rio Blanco,Frontier
Rio Grande,Frontier
Saguache,Frontier
San Juan,Frontier
Sedgwick,Frontier
Washington,Frontier
Yuma,Frontier